origin_code,destination_code,cargo_type,weight_lbs,deadline,total_pay,notes
CHI,LAX,Electronics,5000,2026-07-15,6500.00,Handle with care
ATL,NYC,Furniture,8200,2026-07-10,3100.00,
DAL,SEA,Auto Parts,12000,2026-07-20,9800.00,Oversized load
MEM,PHL,Clothing,3500,2026-07-08,2200.00,
HOU,CHI,Industrial Equipment,15000,2026-07-25,14000.00,Requires liftgate
NYC,MIA,Perishables,2000,2026-07-03,3800.00,Temperature controlled
DEN,ATL,Medical Supplies,1200,2026-07-12,5200.00,Priority
LAX,DAL,Consumer Goods,7000,2026-07-18,4100.00,
STL,PHX,Raw Materials,20000,2026-07-30,8500.00,
IND,NYC,Electronics,4500,2026-07-07,5000.00,Fragile
